Location,Sex,Incidence,Deaths,GDP_Per_Capita_2006,GDP_Per_Capita_2016,GDP_Per_Capita_Change,CPI_2006,CPI_2016,CPI_Change,PM2_5_2006,PM2_5_2016,PM2_5_Change,Population_2006,Population_2016,Population_Change
Jamaica,Female,0.263594755,0.271634885,4321.043,4843.338,0.120872438,60.77,144.429,1.376649663,16.01,13.4,-0.163023111,2754407,2906238,0.055122936
Jamaica,Both,0.30437852,0.319747224,4321.043,4843.338,0.120872438,60.77,144.429,1.376649663,16.01,13.4,-0.066202091,2754407,2906238,0.055122936
Japan,Male,0.188382101,0.083897029,35433.989,38761.818,0.093916296,100.656,103.479,0.028046018,14.35,11.62,-0.190243902,127854000,126994511,-0.006722426
Japan,Female,0.380059638,0.260699508,35433.989,38761.818,0.093916296,100.656,103.479,0.028046018,14.35,11.62,-0.190243902,127854000,126994511,-0.006722426
Japan,Both,0.242967247,0.130828421,35433.989,38761.818,0.093916296,100.656,103.479,0.028046018,14.35,11.62,-0.190243902,127854000,126994511,-0.006722426
Jordan,Male,0.664900443,0.623129541,2548.269,4103.734,0.610400629,80.491,115.491,0.434831223,32.48,33.18,0.021551724,5991540,9551467,0.594158931
Jordan,Female,0.595919111,0.555468731,2548.269,4103.734,0.610400629,80.491,115.491,0.434831223,32.48,33.18,0.021551724,5991540,9551467,0.594158931
Jordan,Both,0.650102168,0.608147613,2548.269,4103.734,0.610400629,80.491,115.491,0.434831223,32.48,33.18,0.021551724,5991540,9551467,0.594158931
Kazakhstan,Male,-0.185300663,-0.243333156,5291.576,7714.842,0.457947878,70.357,152.442,1.166692724,15.62,13.08,-0.162612036,15308084,17794055,0.16239596
Kazakhstan,Female,-0.048155459,-0.110824528,5291.576,7714.842,0.457947878,70.357,152.442,1.166692724,15.62,13.08,-0.162612036,15308084,17794055,0.16239596
Kazakhstan,Both,-0.160907847,-0.219810465,5291.576,7714.842,0.457947878,70.357,152.442,1.166692724,15.62,13.08,-0.162612036,15308084,17794055,0.16239596
Kenya,Male,0.447046406,0.547704461,685.955,1410.528,1.056298154,63.553,159.647,1.51202933,27.48,28.58,0.040029112,37649033,49051686,0.302867088
Kenya,Female,0.465355122,0.580618431,685.955,1410.528,1.056298154,63.553,159.647,1.51202933,27.48,28.58,0.040029112,37649033,49051686,0.302867088
Kenya,Both,0.455238907,0.561362227,685.955,1410.528,1.056298154,63.553,159.647,1.51202933,27.48,28.58,0.040029112,37649033,49051686,0.302867088
Kiribati,Male,0.330270882,0.381160955,1168.449,1584.807,0.356333909,80.473,99.547,0.237023598,13.35,10.54,-0.210486891,94343,112524,0.192711701
Kiribati,Female,0.211182425,0.257812878,1168.449,1584.807,0.356333909,80.473,99.547,0.237023598,13.35,10.54,-0.210486891,94343,112524,0.192711701
Kiribati,Both,0.295623111,0.340788786,1168.449,1584.807,0.356333909,80.473,99.547,0.237023598,13.35,10.54,-0.210486891,94343,112524,0.192711701
Kuwait,Male,0.393298635,0.34138347,42781.366,27653.067,-0.353618886,78.424,121.91,0.554498623,59.67,60.84,0.019607843,2373672,3956875,0.666984739
Kuwait,Female,0.595755617,0.544333825,42781.366,27653.067,-0.353618886,78.424,121.91,0.554498623,59.67,60.84,0.019607843,2373672,3956875,0.666984739
Kuwait,Both,0.444702884,0.393480074,42781.366,27653.067,-0.353618886,78.424,121.91,0.554498623,59.67,60.84,0.019607843,2373672,3956875,0.666984739
Kyrgyzstan,Male,-0.005328355,-0.033805255,543.11,1120.667,1.063425457,63.161,146.927,1.326229794,26.78,23.2,-0.133681852,5218400,6079500,0.165012264
Kyrgyzstan,Female,0.054594261,0.030241856,543.11,1120.667,1.063425457,63.161,146.927,1.326229794,26.78,23.2,-0.133681852,5218400,6079500,0.165012264
Kyrgyzstan,Both,0.007584265,-0.019890959,543.11,1120.667,1.063425457,63.161,146.927,1.326229794,26.78,23.2,-0.133681852,5218400,6079500,0.165012264
Laos,Male,0.264693405,0.361651344,590.633,2308.8,2.909026417,83.644,127.813,0.528059395,31.732,25.801,-0.186909114,5846074,6845846,0.171015967
Laos,Female,0.310098234,0.338561383,590.633,2308.8,2.909026417,83.644,127.813,0.528059395,31.732,25.801,-0.186909114,5846074,6845846,0.171015967
Laos,Both,0.277962659,0.354498928,590.633,2308.8,2.909026417,83.644,127.813,0.528059395,31.732,25.801,-0.186909114,5846074,6845846,0.171015967
Latvia,Male,-0.181696944,-0.253325461,9663.373,14153.415,0.464645419,76.856,107.696,0.401269907,16.86,13.45,-0.202253855,2218357,1959537,-0.116671933
Latvia,Female,0.063984618,-0.110231373,9663.373,14153.415,0.464645419,76.856,107.696,0.401269907,16.86,13.45,-0.202253855,2218357,1959537,-0.116671933
Latvia,Both,-0.136497587,-0.227825406,9663.373,14153.415,0.464645419,76.856,107.696,0.401269907,16.86,13.45,-0.202253855,2218357,1959537,-0.116671933
Lebanon,Male,0.580298252,0.568896233,4626.86,7629.891,0.649042979,95.033,114.07,0.200319889,30.02,30.17,0.004996669,4759753,6711121,0.409972534
Lebanon,Female,0.618514784,0.544363581,4626.86,7629.891,0.649042979,95.033,114.07,0.200319889,30.02,30.17,0.004996669,4759753,6711121,0.409972534
Lebanon,Both,0.590585173,0.561873409,4626.86,7629.891,0.649042979,95.033,114.07,0.200319889,30.02,30.17,0.004996669,4759753,6711121,0.409972534
Lesotho,Male,0.01484562,0.049462107,904.603,1043.57,0.153622086,75.321,135.427,0.797997902,30.1,28.34,-0.058471761,1989939,2075001,0.042746034
Lesotho,Female,0.113640832,0.147112229,904.603,1043.57,0.153622086,75.321,135.427,0.797997902,30.1,28.34,-0.058471761,1989939,2075001,0.042746034
Lesotho,Both,0.034314686,0.069547792,904.603,1043.57,0.153622086,75.321,135.427,0.797997902,30.1,28.34,-0.058471761,1989939,2075001,0.042746034
Liberia,Male,0.573263096,0.709048299,336.116,714.623,1.126120149,66.294,160.629,1.422979455,16.02,17.89,0.116729089,3329211,4586788,0.377740251
Liberia,Female,0.634810837,0.736375276,336.116,714.623,1.126120149,66.294,160.629,1.422979455,16.02,17.89,0.116729089,3329211,4586788,0.377740251
Liberia,Both,0.593890938,0.718145472,336.116,714.623,1.126120149,66.294,160.629,0.896265122,16.02,17.89,0.116729089,3329211,4586788,0.377740251
Libya,Male,0.440240574,0.425233085,9336.357,4035.194,-0.567797804,80.967,125.711,0.552620203,47.13,52.13,0.10608954,5886872,6492164,0.102820649
Libya,Female,0.563679697,0.517272251,9336.357,4035.194,-0.567797804,80.967,125.711,0.552620203,47.13,52.13,0.10608954,5886872,6492164,0.102820649
Libya,Both,0.453868644,0.435548348,9336.357,4035.194,-0.567797804,80.967,125.711,0.552620203,47.13,52.13,0.10608954,5886872,6492164,0.102820649
Lithuania,Male,-0.164337286,-0.235684812,9240.643,14999.48,0.623207389,80.561,108.599,0.348034409,14.46,11.82,-0.182572614,3269909,2868231,-0.122840727
Lithuania,Female,0.217293239,-0.035957735,9240.643,14999.48,0.623207389,80.561,108.599,0.348034409,14.46,11.82,-0.182572614,3269909,2868231,-0.122840727
Lithuania,Both,-0.102037091,-0.205969694,9240.643,14999.48,0.623207389,80.561,108.599,0.348034409,14.46,11.82,-0.182572614,3269909,2868231,-0.122840727
Luxembourg,Male,0.113662054,0.048684908,89739.712,104278.391,0.162009423,92.084,109.518,0.189327136,12.36,10.31,-0.165857605,472637,582014,0.231418615
Luxembourg,Female,0.419369206,0.325130659,89739.712,104278.391,0.162009423,92.084,109.518,0.189327136,12.36,10.31,-0.165857605,472637,582014,0.231418615
Luxembourg,Both,0.1990388,0.122468303,89739.712,104278.391,0.162009423,92.084,109.518,0.189327136,12.36,10.31,-0.165857605,472637,582014,0.231418615
Macedonia,Male,0.106185646,0.103725004,3325.636,5219.159,0.569371693,89.596,109.437,0.221449618,35.63,29.59,-0.169520067,2063131,2080745,0.008537509
Macedonia,Female,0.209213457,0.196145551,3325.636,5219.159,0.569371693,89.596,109.437,0.221449618,35.63,29.59,-0.169520067,2063131,2080745,0.008537509
Macedonia,Both,0.122602678,0.118449588,3325.636,5219.159,0.569371693,89.596,109.437,0.221449618,35.63,29.59,-0.169520067,2063131,2080745,0.008537509
Madagascar,Male,0.423214332,0.48329984,338.751,475.955,0.405029063,69.696,147.972,1.123106061,23.29,22.9,-0.016745384,18880269,24894380,0.318539476
Madagascar,Female,0.499508257,0.541702321,338.751,475.955,0.405029063,69.696,147.972,1.123106061,23.29,22.9,-0.016745384,18880269,24894380,0.318539476
Madagascar,Both,0.449795643,0.503241369,338.751,475.955,0.405029063,69.696,147.972,1.123106061,23.29,22.9,-0.016745384,18880269,24894380,0.318539476
Malawi,Male,0.334605616,0.435387673,308.163,315.777,0.024707703,73.168,305.31,3.172725782,25.63,23.09,-0.099102614,12973699,17205289,0.326166809
Malawi,Female,0.468638299,0.575320807,308.163,315.777,0.024707703,73.168,305.31,3.172725782,25.63,23.09,-0.099102614,12973699,17205289,0.326166809
Malawi,Both,0.374615244,0.476328889,308.163,315.777,0.024707703,73.168,305.31,3.172725782,25.63,23.09,-0.099102614,12973699,17205289,0.326166809
Malaysia,Male,0.444074142,0.422063522,6209.125,9817.741,0.581179474,90.941,115.147,0.266172573,19.38,15.75,-0.187306502,26201961,30684804,0.171088072
Malaysia,Female,0.450373096,0.364316136,6209.125,9817.741,0.581179474,90.941,115.147,0.266172573,19.38,15.75,-0.187306502,26201961,30684804,0.171088072
Malaysia,Both,0.445957848,0.404750879,6209.125,9817.741,0.581179474,90.941,115.147,0.266172573,19.38,15.75,-0.187306502,26201961,30684804,0.171088072
Maldives,Male,0.447192616,0.425394763,4809.963,9209.289,0.914627826,60.684,108.97,0.795695735,11.44,7.97,-0.303321678,327487,475513,0.452005728
Maldives,Female,0.532148459,0.484996624,4809.963,9209.289,0.914627826,60.684,108.97,0.795695735,11.44,7.97,-0.303321678,327487,475513,0.452005728
Maldives,Both,0.460077904,0.434200975,4809.963,9209.289,0.914627826,60.684,108.97,0.795695735,11.44,7.97,-0.303321678,327487,475513,0.452005728
Mali,Male,0.293585422,0.318093087,523.039,780.388,0.492026407,87.185,108.323,0.242449963,37.84,38.48,0.016913319,13203378,17965429,0.360669141
Mali,Female,0.347123269,0.320917436,523.039,780.388,0.492026407,87.185,108.323,0.242449963,37.84,38.48,0.016913319,13203378,17965429,0.360669141
Mali,Both,0.312344622,0.319058692,523.039,780.388,0.492026407,87.185,108.323,0.242449963,37.84,38.48,0.016913319,13203378,17965429,0.360669141
Malta,Male,0.369593537,0.230970088,16671.567,25133.046,0.507539513,91.412,108.857,0.190839277,16.1,13.81,-0.142236025,405308,455356,0.123481402
Malta,Female,0.287652865,0.166811053,16671.567,25133.046,0.507539513,91.412,108.857,0.190839277,16.1,13.81,-0.142236025,405308,455356,0.123481402
Malta,Both,0.356157069,0.218561723,16671.567,25133.046,0.507539513,91.412,108.857,0.190839277,16.1,13.81,-0.142236025,405308,455356,0.123481402
Mauritania,Male,0.590465603,0.651555536,1288.144,1536.854,0.19307624,79.945,125.229,0.566439427,41.87,46.67,0.114640554,3111906,4163534,0.337936943
Mauritania,Female,0.50454196,0.534924298,1288.144,1536.854,0.19307624,79.945,125.229,0.566439427,41.87,46.67,0.114640554,3111906,4163534,0.337936943
