Location,Sex,Incidence,Deaths,GDP_Per_Capita_2006,GDP_Per_Capita_2016,GDP_Per_Capita_Change,CPI_2006,CPI_2016,CPI_Change,PM2_5_2006,PM2_5_2016,PM2_5_Change,Population_2006,Population_2016,Population_Change
Papua New Guinea,Both,0.367752867,0.400228609,1256.979,2509.631,0.996557619,78.933,136.339,0.727275031,14.52,12.62,-0.130853994,6646895,8271760,0.244454742
Paraguay,Male,0.382021281,0.415356692,2271.09,5319.41,1.342227741,78.197,129.93,0.661572695,15.13,11.65,-0.230006609,5913209,6777872,0.146225679
Paraguay,Female,0.374829188,0.395212674,2271.09,5319.41,1.342227741,78.197,129.93,0.661572695,15.13,11.65,-0.230006609,5913209,6777872,0.146225679
Paraguay,Both,0.380177181,0.410221053,2271.09,5319.41,1.342227741,78.197,129.93,0.661572695,15.13,11.65,-0.230006609,5913209,6777872,0.146225679
Peru,Male,0.220791273,0.230332529,3154.331,6204.997,0.967135662,88.87,121.997,0.372757961,32.3,25.54,-0.209287926,28102056,30926032,0.100490014
Peru,Female,0.364540047,0.38849225,3154.331,6204.997,0.967135662,88.87,121.997,0.372757961,32.3,25.54,-0.209287926,28102056,30926032,0.100490014
Peru,Both,0.286016992,0.301172616,3154.331,6204.997,0.967135662,88.87,121.997,0.372757961,32.3,25.54,-0.209287926,28102056,30926032,0.100490014
Philippines,Male,0.22889783,0.251444776,1452.439,3073.654,1.116201782,82.988,116.877,0.408360245,22.82,18.23,-0.201139351,87888675,103663927,0.179491294
Philippines,Female,0.424823242,0.418498179,1452.439,3073.654,1.116201782,82.988,116.877,0.408360245,22.82,18.23,-0.201139351,87888675,103663927,0.179491294
Philippines,Both,0.280914371,0.295900824,1452.439,3073.654,1.116201782,82.988,116.877,0.408360245,22.82,18.23,-0.201139351,87888675,103663927,0.179491294
Poland,Male,-0.047445349,-0.054986512,9038.655,12431.816,0.375405522,88.001,107.408,0.220531585,26.15,20.98,-0.197705545,38141267,37790087,-0.00920735
Poland,Female,0.255293316,0.224548196,9038.655,12431.816,0.375405522,88.001,107.408,0.220531585,26.15,20.98,-0.197705545,38141267,37790087,-0.00920735
Poland,Both,0.026631722,0.011983835,9038.655,12431.816,0.375405522,88.001,107.408,0.220531585,26.15,20.98,-0.197705545,38141267,37790087,-0.00920735
Portugal,Male,-0.016188134,-0.00440843,19822.846,19978.401,0.007847259,94.617,107.693,0.138199267,10.45,8.05,-0.229665072,10522288,10325452,-0.018706578
Portugal,Female,0.144288418,0.136390145,19822.846,19978.401,0.007847259,94.617,107.693,0.138199267,10.45,8.05,-0.229665072,10522288,10325452,-0.018706578
Portugal,Both,0.017642812,0.02499256,19822.846,19978.401,0.007847259,94.617,107.693,0.138199267,10.45,8.05,-0.229665072,10522288,10325452,-0.018706578
Puerto Rico,Male,0.116552609,0.046250459,22935.941,30627.163,0.335334923,102.3,116.6,0.139784946,10.4,8.34,-0.198076923,3805214,3406672,-0.104735765
Puerto Rico,Female,0.175464742,0.143112268,22935.941,30627.163,0.335334923,102.3,116.6,0.139784946,10.4,8.34,-0.198076923,3805214,3406672,-0.104735765
Puerto Rico,Both,0.135887148,0.082260215,22935.941,30627.163,0.335334923,102.3,116.6,0.139784946,10.4,8.34,-0.198076923,3805214,3406672,-0.104735765
Qatar,Male,1.402179878,1.337091827,59530.154,57163.061,-0.039762924,82.308,115.403,0.402087282,85.33,88.22,0.03386851,1022711,2654374,1.595429207
Qatar,Female,1.564917946,1.480713709,59530.154,57163.061,-0.039762924,82.308,115.403,0.402087282,85.33,88.22,0.03386851,1022711,2654374,1.595429207
Qatar,Both,1.423712472,1.35620714,59530.154,57163.061,-0.039762924,82.308,115.403,0.402087282,85.33,88.22,0.03386851,1022711,2654374,1.595429207
